area_code,area,iso3c,exiobase_area,exiobase_id,exiobase_code
1,Armenia,ARM,RoW Asia and Pacific,44,WA
2,Afghanistan,AFG,RoW Asia and Pacific,44,WA
3,Albania,ALB,RoW Europe,46,WE
4,Algeria,DZA,RoW Africa,47,WF
7,Angola,AGO,RoW Africa,47,WF
8,Antigua and Barbuda,ATG,RoW America,45,WL
9,Argentina,ARG,RoW America,45,WL
10,Australia,AUS,Australia,37,AU
11,Austria,AUT,Austria,1,AT
12,Bahamas,BHS,RoW America,45,WL
13,Bahrain,BHR,RoW Middle East,48,WM
14,Barbados,BRB,RoW America,45,WL
15,Belgium-Luxembourg,BLX,,,
16,Bangladesh,BGD,RoW Asia and Pacific,44,WA
19,Bolivia (Plurinational State of),BOL,RoW America,45,WL
20,Botswana,BWA,RoW Africa,47,WF
21,Brazil,BRA,Brazil,33,BR
23,Belize,BLZ,RoW America,45,WL
25,Solomon Islands,SLB,RoW Asia and Pacific,44,WA
26,Brunei Darussalam,BRN,RoW Asia and Pacific,44,WA
27,Bulgaria,BGR,Bulgaria,3,BG
28,Myanmar,MMR,RoW Asia and Pacific,44,WA
29,Burundi,BDI,RoW Africa,47,WF
32,Cameroon,CMR,RoW Africa,47,WF
33,Canada,CAN,Canada,31,CA
35,Cabo Verde,CPV,RoW Africa,47,WF
37,Central African Republic,CAF,RoW Africa,47,WF
38,Sri Lanka,LKA,RoW Asia and Pacific,44,WA
39,Chad,TCD,RoW Africa,47,WF
40,Chile,CHL,RoW America,45,WL
41,"China, mainland",CHN,China,30,CN
44,Colombia,COL,RoW America,45,WL
46,Congo,COG,RoW Africa,47,WF
48,Costa Rica,CRI,RoW America,45,WL
49,Cuba,CUB,RoW America,45,WL
50,Cyprus,CYP,Cyprus,4,CY
51,Czechoslovakia,CSK,,,
52,Azerbaijan,AZE,RoW Asia and Pacific,44,WA
53,Benin,BEN,RoW Africa,47,WF
54,Denmark,DNK,Denmark,7,DK
55,Dominica,DMA,RoW America,45,WL
56,Dominican Republic,DOM,RoW America,45,WL
57,Belarus,BLR,RoW Europe,46,WE
58,Ecuador,ECU,RoW America,45,WL
59,Egypt,EGY,RoW Middle East,48,WM
